DeliveryDate,Version,inputFolder,inputFilename,imageXyPixelSize,imageZPixelSize,memChannel,nucChannel,structureChannel,structureProteinName,lightChannel,timePoint,outputSegmentationPath,outputNucSegWholeFilename,outputCellSegWholeFilename,SegmentationXyPixelSize,SegmentationZPixelSize,outputNucSegWholeSegScaleFilename,outputCellSegWholeSegScaleFilename,structureSegOutputFolder,structureSegOutputFilename
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160930,20160930_S01_001.czi,0.065,0.29,1,3,2,Beta actin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160930_S01\nuc_cell_segmentation,20160930_S01_001.czi_nucWholeIndex.tiff,20160930_S01_001.czi_cellWholeIndex.tiff,0.065,0.29,20160930_S01_001.czi_nucWholeIndex.tiff,20160930_S01_001.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160930_S01\structure_segmentation,20160930_S01_001.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160930,20160930_S01_002.czi,0.065,0.29,1,3,2,Beta actin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160930_S01\nuc_cell_segmentation,20160930_S01_002.czi_nucWholeIndex.tiff,20160930_S01_002.czi_cellWholeIndex.tiff,0.065,0.29,20160930_S01_002.czi_nucWholeIndex.tiff,20160930_S01_002.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160930_S01\structure_segmentation,20160930_S01_002.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160930,20160930_S01_003.czi,0.065,0.29,1,3,2,Beta actin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160930_S01\nuc_cell_segmentation,20160930_S01_003.czi_nucWholeIndex.tiff,20160930_S01_003.czi_cellWholeIndex.tiff,0.065,0.29,20160930_S01_003.czi_nucWholeIndex.tiff,20160930_S01_003.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160930_S01\structure_segmentation,20160930_S01_003.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160930,20160930_S01_004.czi,0.065,0.29,1,3,2,Beta actin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160930_S01\nuc_cell_segmentation,20160930_S01_004.czi_nucWholeIndex.tiff,20160930_S01_004.czi_cellWholeIndex.tiff,0.065,0.29,20160930_S01_004.czi_nucWholeIndex.tiff,20160930_S01_004.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160930_S01\structure_segmentation,20160930_S01_004.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160930,20160930_S01_006.czi,0.065,0.29,1,3,2,Beta actin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160930_S01\nuc_cell_segmentation,20160930_S01_006.czi_nucWholeIndex.tiff,20160930_S01_006.czi_cellWholeIndex.tiff,0.065,0.29,20160930_S01_006.czi_nucWholeIndex.tiff,20160930_S01_006.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160930_S01\structure_segmentation,20160930_S01_006.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160930,20160930_S01_007.czi,0.065,0.29,1,3,2,Beta actin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160930_S01\nuc_cell_segmentation,20160930_S01_007.czi_nucWholeIndex.tiff,20160930_S01_007.czi_cellWholeIndex.tiff,0.065,0.29,20160930_S01_007.czi_nucWholeIndex.tiff,20160930_S01_007.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160930_S01\structure_segmentation,20160930_S01_007.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160930,20160930_S01_009.czi,0.065,0.29,1,3,2,Beta actin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160930_S01\nuc_cell_segmentation,20160930_S01_009.czi_nucWholeIndex.tiff,20160930_S01_009.czi_cellWholeIndex.tiff,0.065,0.29,20160930_S01_009.czi_nucWholeIndex.tiff,20160930_S01_009.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160930_S01\structure_segmentation,20160930_S01_009.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160930,20160930_S01_010.czi,0.065,0.29,1,3,2,Beta actin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160930_S01\nuc_cell_segmentation,20160930_S01_010.czi_nucWholeIndex.tiff,20160930_S01_010.czi_cellWholeIndex.tiff,0.065,0.29,20160930_S01_010.czi_nucWholeIndex.tiff,20160930_S01_010.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160930_S01\structure_segmentation,20160930_S01_010.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160930,20160930_S01_011.czi,0.065,0.29,1,3,2,Beta actin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160930_S01\nuc_cell_segmentation,20160930_S01_011.czi_nucWholeIndex.tiff,20160930_S01_011.czi_cellWholeIndex.tiff,0.065,0.29,20160930_S01_011.czi_nucWholeIndex.tiff,20160930_S01_011.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160930_S01\structure_segmentation,20160930_S01_011.czi_structSegmentation.tiff
2016_11_08,2.2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160930,20160930_S01_012.czi,0.065,0.29,1,3,2,Beta actin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160930_S01\nuc_cell_segmentation,20160930_S01_012.czi_nucWholeIndex.tiff,20160930_S01_012.czi_cellWholeIndex.tiff,0.065,0.29,20160930_S01_012.czi_nucWholeIndex.tiff,20160930_S01_012.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_11_08_Nuc_Cell_Seg_8_cell_lines_V22\20160930_S01\structure_segmentation,20160930_S01_012.czi_structSegmentation.tiff
